feature,importance
price_per_bedroom,0.6824169225174888
bedrooms,0.317072657167584
accommodates,0.00012529901299852638
number_of_reviews,6.316388204295485e-05
reviews_per_month,6.292254665369714e-05
availability_365,6.09917425271244e-05
minimum_nights,4.5259787886000306e-05
review_scores_rating,3.466490341636497e-05
bathrooms,2.803637410131103e-05
beds,2.3762091648522756e-05
room_type_encoded,2.130977557744715e-05
host_tenure_years,1.6001678154044623e-05
bed_bath_ratio,1.4249182132450018e-05
is_superhost,1.2315524201847104e-05
neighbourhood_encoded,2.443813587091808e-06
